0.00000e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00
4.78637e-03 5.78226e-03 4.63647e-03
3.57097e-03 4.31554e-03 3.43468e-03
2.80087e-03 3.51101e-03 1.78192e-03
2.77451e-03 3.51776e-03 1.13753e-03
2.89213e-03 3.73288e-03 7.54728e-04
3.21265e-03 4.10947e-03 4.41903e-03
3.42890e-03 3.95037e-03 2.17976e-03
2.48402e-03 3.18539e-03 2.23838e-03
2.64497e-03 3.62495e-03 3.49913e-03
3.33456e-03 6.26410e-03 3.04333e-03
7.74298e-03 3.95869e-02 7.58448e-03
6.71870e-02 5.82279e-01 4.70451e-02
1.00000e+00 1.00000e+00 4.82123e-01
5.47196e-01 3.78274e-01 2.47542e-02
2.93020e-02 2.28254e-02 4.90902e-03
7.04695e-03 6.39103e-03 5.02384e-03
3.31711e-03 3.90543e-03 3.96317e-03
2.93992e-03 4.21588e-03 1.06504e-02
3.66501e-03 3.62067e-03 3.20758e-03
2.36152e-03 3.15493e-03 6.64088e-03
2.60241e-03 3.85363e-03 7.04166e-03
3.31933e-03 5.38009e-03 4.69742e-03
4.74822e-03 6.67932e-03 5.49993e-03
5.56266e-03 8.56068e-03 1.59554e-02
7.29188e-03 8.02091e-03 2.45827e-02
6.08478e-03 6.37185e-03 8.69225e-03
4.77991e-03 6.53343e-03 1.03171e-02
5.30773e-03 1.02901e-02 3.18817e-03
8.80549e-03 5.33794e-02 2.23811e-03
4.84493e-02 2.04700e-01 4.97485e-02
1.79353e-01 2.37690e-01 2.00716e-01
1.90359e-01 1.08724e-01 5.91386e-03
7.81545e-02 2.74081e-02 6.34314e-03
1.88585e-02 9.97468e-03 4.76278e-03
7.66232e-03 8.80029e-03 2.51005e-03
7.00712e-03 7.02279e-03 1.32249e-02
5.53664e-03 9.89732e-03 7.37577e-03
7.74366e-03 1.28237e-02 5.99882e-04
1.04829e-02 8.67260e-03 1.25188e-02
6.85319e-03 9.48620e-03 2.71876e-03
7.37582e-03 1.10973e-02 7.34909e-03
8.79547e-03 1.16194e-02 3.12999e-02
9.06605e-03 1.28208e-02 2.29279e-02
1.01277e-02 1.54649e-02 2.29190e-02
1.05313e-02 2.74970e-02 4.40794e-02
1.84533e-02 8.56750e-02 1.40452e-02
3.22169e-02 3.33941e-01 6.28553e-03
1.63129e-01 7.50217e-01 3.41221e-01
5.05687e-01 8.75009e-01 1.00000e+00
7.87732e-01 5.29588e-01 6.93421e-02
5.27685e-01 2.13541e-01 4.51899e-02
2.45000e-01 5.12415e-02 7.46953e-03
5.75755e-02 1.80306e-02 1.20957e-02
1.81048e-02 1.16329e-02 1.36611e-02
